[2022-03-10 10:13:19,809] log.py->message():118 -- MESSAGE -- Initialized logging
[2022-03-10 10:13:20,154] log.py->debug():97 -- DEBUG -- VERSION: 1.2.0 final
[2022-03-10 10:13:20,154] log.py->debug():97 -- DEBUG -- SHORT VERSION: final
[2022-03-10 10:13:20,154] log.py->debug():97 -- DEBUG -- LONG VERSION: 1.2.0 final (HEAD:c28443c2)
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- BASEMESH VERSION: hm08
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- IS BUILT (FROZEN): No
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- IS RELEASE VERSION: Yes
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- DEFAULT ENCODING: utf-8
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- FILESYSTEM ENCODING: utf-8
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- STDOUT ENCODING: cp1252
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- LOCALE PREFERRED ENCODING: cp1252
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- WORKING DIRECTORY: C:\Users\yeckz\AppData\Local\makehuman-community\makehuman
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- HOME LOCATION: C:/Users/yeckz/Documents
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- PYTHON PATH: ./;./lib;./apps;./shared;./apps/gui;./core;C:\Users\yeckz\AppData\Local\makehuman-community\Python\python37.zip;C:\Users\yeckz\AppData\Local\makehuman-community\Python;C:\Users\yeckz\AppData\Local\makehuman-community\pkgs
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- DLL PATH: C:\Users\yeckz\AppData\Local\makehuman-community\pkgs\PyQt5\Qt\bin;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\VMware\VMware Player\bin\;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\runtime\win64;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\bin;C:\Program Files\MATLAB\MATLAB Production Server\R2015a\polyspace\bin;C:\Program Files\Amazon\AWSCLI\bin\;C:\Program Files\Git\cmd;C:\Program Files\nodejs\;C:\ProgramData\chocolatey\bin;C:\Program Files\Java\jdk1.8.0_212\bin;C:\Program Files\PuTTY\;C:\Oracle\instantclient_18_5;C:\Oracle\instantclient_19_10;C:\Oracle\instantclient_12_2;C:\Users\yeckz\AppData\Local\Programs\Python\Python37-32\Scripts\;C:\Users\yeckz\AppData\Local\Programs\Python\Python37-32\;C:\Users\yeckz\AppData\Local\Microsoft\WindowsApps;C:\Users\yeckz\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\yeckz\AppData\Roaming\npm;C:\tools\dart-sdk\bin;C:\Users\yeckz\AppData\Roaming\Pub\Cache\bin;C:\src\flutter\bin;C:\ProgramData\chocolatey\lib\ghc\tools\ghc-8.10.2\bin;C:\tools\msys64;C:\Program Files\Azure Data Studio\bin;C:\Users\yeckz\AppData\Roaming\cabal\bin;C:\tools\ghc-9.0.1\bin;
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- SYS.VERSION: 3.7.6 (tags/v3.7.6:43364a7ae0, Dec 19 2019, 00:42:30) [MSC v.1916 64 bit (AMD64)]
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- SYS.PLATFORM: win32
[2022-03-10 10:13:20,155] log.py->debug():97 -- DEBUG -- SYS.EXECUTABLE: C:\Users\yeckz\AppData\Local\makehuman-community\Python\pythonw.exe
[2022-03-10 10:13:20,166] log.py->debug():97 -- DEBUG -- PLATFORM.MACHINE: AMD64
[2022-03-10 10:13:20,166] log.py->debug():97 -- DEBUG -- PLATFORM.PROCESSOR: Intel64 Family 6 Model 142 Stepping 10, GenuineIntel
[2022-03-10 10:13:20,166] log.py->debug():97 -- DEBUG -- PLATFORM.UNAME.RELEASE: 10
[2022-03-10 10:13:20,167] log.py->debug():97 -- DEBUG -- PLATFORM.WIN32_VER: 10 10.0.19041 SP0 
[2022-03-10 10:13:31,268] log.py->debug():97 -- DEBUG -- NUMPY.VERSION: 1.18.1
[2022-03-10 10:13:33,413] acceleratesupport.py-><module>():17 -- MESSAGE -- No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-03-10 10:14:08,455] log.py->debug():97 -- DEBUG -- QT.VERSION: 5.12.7
[2022-03-10 10:14:09,768] log.py->debug():97 -- DEBUG -- QT.JPG_SUPPORT: supported
[2022-03-10 10:14:09,768] log.py->debug():97 -- DEBUG -- QT.SVG_SUPPORT: supported
[2022-03-10 10:14:09,799] log.py->debug():97 -- DEBUG -- QT.PLUGIN_PATH: C:/Users/yeckz/AppData/Local/makehuman-community/pkgs/PyQt5/Qt/plugins;C:/Users/yeckz/AppData/Local/makehuman-community/Python
[2022-03-10 10:14:09,799] log.py->debug():97 -- DEBUG -- QT.PLUGIN_PATH_ENV: 
[2022-03-10 10:14:09,799] log.py->debug():97 -- DEBUG -- QT.CONF: NOT PRESENT
[2022-03-10 10:14:14,725] log.py->debug():97 -- DEBUG -- PYOPENGL.VERSION: 3.1.0
[2022-03-10 10:14:14,725] log.py->debug():97 -- DEBUG -- NOSHADERS: not set
[2022-03-10 10:14:14,725] log.py->debug():97 -- DEBUG -- NOSAMPLEBUFFERS: not set
[2022-03-10 10:14:14,730] log.py->debug():97 -- DEBUG -- GL.VENDOR: Intel
[2022-03-10 10:14:14,734] log.py->debug():97 -- DEBUG -- GL.RENDERER: Intel(R) HD Graphics 620
[2022-03-10 10:14:14,736] log.py->debug():97 -- DEBUG -- GL.VERSION: 4.6.0 - Build 27.20.100.9171
[2022-03-10 10:14:14,739] log.py->debug():97 -- DEBUG -- 4.60 - Build 27.20.100.9171
[2022-03-10 10:14:14,739] log.py->debug():97 -- DEBUG -- GLSL.VERSION: 4.60 - Build 27.20.100.9171
[2022-03-10 10:14:14,818] log.py->debug():97 -- DEBUG -- GL.EXTENSION: GL_ARB_multisample enabled (4x samples)
[2022-03-10 10:14:14,884] log.py->debug():97 -- DEBUG -- Creating new texture for image data/textures/texture_notfound.png.
[2022-03-10 10:14:15,062] log.py->debug():97 -- DEBUG -- GL.EXTENSION: GL_ARB_texture_non_power_of_two enabled
[2022-03-10 10:14:15,669] log.py->debug():97 -- DEBUG -- initTexture: 256, 256, False
[2022-03-10 10:14:17,201] log.py->debug():97 -- DEBUG -- Setting language to english
[2022-03-10 10:14:17,332] log.py->debug():97 -- DEBUG -- Setting language to english
[2022-03-10 10:14:17,361] log.py->message():118 -- MESSAGE -- Initializing default theme first.
[2022-03-10 10:14:17,394] log.py->message():118 -- MESSAGE -- Theme default version 1.2.0
[2022-03-10 10:14:17,397] log.py->debug():97 -- DEBUG -- Loaded theme data/themes/default.mht
[2022-03-10 10:14:17,403] log.py->debug():97 -- DEBUG -- Using Qt system style windowsvista
[2022-03-10 10:14:24,671] log.py->message():118 -- MESSAGE -- Loading human
[2022-03-10 10:14:24,764] log.py->debug():97 -- DEBUG -- Loading binary mesh data/3dobjs/base.npz.
[2022-03-10 10:14:25,035] log.py->debug():97 -- DEBUG -- NPZ-File: maxmimum number of faces for one vertex: 5
[2022-03-10 10:14:25,399] log.py->debug():97 -- DEBUG -- Loading material from file data/skins/default.mhmat
[2022-03-10 10:14:27,199] log.py->debug():97 -- DEBUG -- Shader: adding built-in uniform b'gl_NormalMatrix'
[2022-03-10 10:14:27,199] log.py->debug():97 -- DEBUG -- Shader: adding built-in uniform b'gl_ModelViewProjectionMatrix'
[2022-03-10 10:14:27,208] log.py->debug():97 -- DEBUG -- VectorUniform(AdditiveShading) = [0.]
[2022-03-10 10:14:27,214] log.py->debug():97 -- DEBUG -- VectorUniform(AdditiveShading) = [0.]
[2022-03-10 10:14:28,488] log.py->message():118 -- MESSAGE -- Loaded vertex weights MakeHuman weights from file C:/Users/yeckz/AppData/Local/makehuman-community/makehuman/data/rigs/default_weights.mhw
[2022-03-10 10:14:29,645] log.py->message():118 -- MESSAGE -- Loading scene
[2022-03-10 10:14:29,799] log.py->debug():97 -- DEBUG -- Loading scene file: data/scenes/default.mhscene
[2022-03-10 10:14:29,821] log.py->message():118 -- MESSAGE -- Loading main GUI
[2022-03-10 10:14:30,158] log.py->debug():97 -- DEBUG -- Assigning setting loaddir value C:/Users/yeckz/Documents/makehuman/v1py3/models that was loaded before the setting was declared.
[2022-03-10 10:14:30,292] log.py->debug():97 -- DEBUG -- Assigning setting savedir value C:/Users/yeckz/Documents/makehuman/v1py3/models that was loaded before the setting was declared.
[2022-03-10 10:14:30,323] log.py->debug():97 -- DEBUG -- Assigning setting exportdir value C:/Users/yeckz/Documents/makehuman/v1py3/exports that was loaded before the setting was declared.
[2022-03-10 10:14:30,348] log.py->message():118 -- MESSAGE -- Loading plugins
[2022-03-10 10:14:31,032] log.py->message():118 -- MESSAGE -- Importing plugin 0_modeling_0_modifiers
[2022-03-10 10:14:31,356] log.py->message():118 -- MESSAGE -- Imported plugin 0_modeling_0_modifiers
[2022-03-10 10:14:31,365] log.py->message():118 -- MESSAGE -- Loading plugin 0_modeling_0_modifiers
[2022-03-10 10:14:31,370] log.py->debug():97 -- DEBUG -- Loading modifiers from data/modifiers/modeling_modifiers.json
[2022-03-10 10:14:31,489] log.py->debug():97 -- DEBUG -- Attempting to load targets from NPZ file.
[2022-03-10 10:14:32,720] log.py->debug():97 -- DEBUG -- 1258 targets loaded from NPZ file succesfully.
[2022-03-10 10:14:33,999] log.py->message():118 -- MESSAGE -- Loaded 249 modifiers from file data/modifiers/modeling_modifiers.json
[2022-03-10 10:14:34,065] log.py->message():118 -- MESSAGE -- Loaded 249 modifier descriptions from file data/modifiers/modeling_modifiers_desc.json
[2022-03-10 10:14:44,683] log.py->message():118 -- MESSAGE -- Loaded plugin 0_modeling_0_modifiers
[2022-03-10 10:14:44,736] log.py->message():118 -- MESSAGE -- Importing plugin 0_modeling_8_random
[2022-03-10 10:14:44,835] log.py->message():118 -- MESSAGE -- Imported plugin 0_modeling_8_random
[2022-03-10 10:14:44,842] log.py->message():118 -- MESSAGE -- Loading plugin 0_modeling_8_random
[2022-03-10 10:14:44,890] log.py->message():118 -- MESSAGE -- Loaded plugin 0_modeling_8_random
[2022-03-10 10:14:44,897] log.py->message():118 -- MESSAGE -- Importing plugin 0_modeling_9_custom_targets
[2022-03-10 10:14:44,928] log.py->message():118 -- MESSAGE -- Imported plugin 0_modeling_9_custom_targets
[2022-03-10 10:14:44,931] log.py->message():118 -- MESSAGE -- Loading plugin 0_modeling_9_custom_targets
[2022-03-10 10:14:45,022] log.py->message():118 -- MESSAGE -- Loaded plugin 0_modeling_9_custom_targets
[2022-03-10 10:14:45,032] log.py->message():118 -- MESSAGE -- Importing plugin 0_modeling_a_measurement
[2022-03-10 10:14:45,182] log.py->message():118 -- MESSAGE -- Imported plugin 0_modeling_a_measurement
[2022-03-10 10:14:45,182] log.py->message():118 -- MESSAGE -- Loading plugin 0_modeling_a_measurement
[2022-03-10 10:14:45,191] log.py->debug():97 -- DEBUG -- Loading modifiers from data/modifiers/measurement_modifiers.json
[2022-03-10 10:14:45,238] log.py->message():118 -- MESSAGE -- Loaded 20 modifiers from file data/modifiers/measurement_modifiers.json
[2022-03-10 10:14:45,388] log.py->message():118 -- MESSAGE -- Loaded 20 modifier descriptions from file data/modifiers/measurement_modifiers_desc.json
[2022-03-10 10:14:45,499] log.py->message():118 -- MESSAGE -- Loaded plugin 0_modeling_a_measurement
